# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
106 c3bb 6 1a8 3 0 1 7079 1bff -3 -1
107 c3ba 6 1b0 3 0 1 7080 1bff -3 -1
108 c3b9 6 1b0 3 0 1 7082 1bff -3 -1
109 c3b8 6 1b8 3 0 1 7083 1bff -3 -1
110 c3b7 6 1b8 3 0 1 7085 1bff -3 -1
111 c3b6 6 1c0 3 0 1 7086 1bff -3 -1
112 c3b5 6 1c0 3 0 1 7088 1bff -3 -1
113 c3b4 6 1c8 3 0 1 7089 1bff -3 -1
114 c3b3 6 1c8 3 0 1 7091 1bff -3 -1
115 c3b2 6 1d0 3 0 1 7092 1bff -3 -1
116 c3b1 6 1d0 3 0 1 7094 1bff -3 -1
117 c3b0 6 1d8 3 0 1 7095 1bff -3 -1
118 c3af 6 1d8 3 0 1 7097 1bff -3 -1
119 c3ae 6 1e0 3 0 1 7098 1bff -3 -1
120 c3ad 6 1e0 3 0 1 7100 1bff -3 -1
121 c3ac 6 1e8 3 0 1 7101 1bff -3 -1
122 c3ab 6 1e8 3 0 1 7103 1bff -3 -1
123 c3aa 6 1f0 3 0 1 7104 1bff -3 -1
124 c3a9 6 1f0 3 0 1 7106 1bff -3 -1
125 c3a8 6 1f8 3 0 1 7107 1bff -3 -1
126 c3a7 6 1f8 3 0 1 7109 1bff -3 -1
127 c3a6 6 200 3 0 1 7110 1bff -3 -1
128 c3a5 6 200 3 0 1 7112 1bff -3 -1
129 c3a4 6 208 3 0 1 7113 1bff -3 -1
130 c3a3 6 208 3 0 1 7115 1bff -3 -1
131 c3a2 6 210 3 0 1 7116 1bff -3 -1
132 c3a1 6 210 3 0 1 7118 1bff -3 -1
133 c3a0 6 218 3 0 1 7119 1bff -3 -1
134 c39f 6 218 3 0 1 7121 1bff -3 -1
135 c39e 6 220 3 0 1 7122 1bff -3 -1
136 c39d 6 220 3 0 1 7124 1bff -3 -1
137 c39c 6 228 3 0 1 7125 1bff -3 -1
138 c39b 6 228 3 0 1 7127 1bff -3 -1
139 c39a 6 230 3 0 1 7128 1bff -3 -1
140 c399 6 230 3 0 1 7130 1bff -3 -1
141 c398 6 238 3 0 1 7131 1bff -3 -1
142 c397 6 238 3 0 1 7133 1bff -3 -1
143 c396 6 240 3 0 1 7134 1bff -3 -1
144 c395 6 240 3 0 1 7136 1bff -3 -1
145 c394 6 248 3 0 1 7137 1bff -3 -1
146 c393 6 248 3 0 1 7139 1bff -3 -1
147 c392 6 250 3 0 1 7140 1bff -3 -1
148 c391 6 250 3 0 1 7142 1bff -3 -1
149 c390 6 258 3 0 1 7143 1bff -3 -1
150 c38f 6 258 3 0 1 7145 1bff -3 -1
151 c38e 6 260 3 0 1 7146 1bff -3 -1
152 c38d 6 260 3 0 1 7148 1bff -3 -1
153 c38c 6 268 3 0 1 7149 1bff -3 -1
154 c38b 6 268 3 0 1 7151 1bff -3 -1
155 c38a 6 270 3 0 1 7152 1bff -3 -1
156 c389 6 270 3 0 1 7154 1bff -3 -1
157 c388 6 278 3 0 1 7155 1bff -3 -1
158 c387 6 278 3 0 1 7157 1bff -3 -1
159 c386 6 280 3 0 1 7158 1bff -3 -1
160 c385 6 280 3 0 1 7160 1bff -3 -1
161 c384 6 288 3 0 1 7161 1bff -3 -1
162 c383 6 288 3 0 1 7163 1bff -3 -1
163 c382 6 290 3 0 1 7164 1bff -3 -1
164 c381 6 290 3 0 1 7166 1bff -3 -1
165 c380 6 298 3 0 1 7167 1bff -3 -1
166 c37f 6 298 3 0 1 7169 1bff -3 -1
167 c37e 6 2a0 3 0 1 7170 1bff -3 -1
168 c37d 6 2a0 3 0 1 7172 1bff -3 -1
169 c37c 6 2a8 3 0 1 7173 1bff -3 -1
170 c37b 6 2a8 3 0 1 7175 1bff -3 -1
171 c37a 6 2b0 3 0 1 7176 1bff -3 -1
172 c379 6 2b0 3 0 1 7178 1bff -3 -1
173 c378 6 2b8 3 0 1 7179 1bff -3 -1
174 c377 6 2b8 3 0 1 7181 1bff -3 -1
175 c376 6 2c0 3 0 1 7182 1bff -3 -1
176 c375 6 2c0 3 0 1 7184 1bff -3 -1
177 c374 6 2c8 3 0 1 7185 1bff -3 -1
178 c373 6 2c8 3 0 1 7187 1bff -3 -1
179 c372 6 2d0 3 0 1 7188 1bff -3 -1
180 c371 6 2d0 3 0 1 7190 1bff -3 -1
181 c370 6 2d8 3 0 1 7191 1bff -3 -1
182 c36f 6 2d8 3 0 1 7193 1bff -3 -1
183 c36e 6 2e0 3 0 1 7194 1bff -3 -1
184 c36d 6 2e0 3 0 1 7196 1bff -3 -1
185 c36c 6 2e8 3 0 1 7197 1bff -3 -1
186 c36b 6 2e8 3 0 1 7199 1bff -3 -1
187 c36a 6 2f0 3 0 1 7200 1bff -3 -1
188 c369 6 2f0 3 0 1 7202 1bff -3 -1
189 c368 6 2f8 3 0 1 7203 1bff -3 -1
190 c367 6 2f8 3 0 1 7205 1bff -3 -1
191 c366 6 300 3 0 1 7206 1bff -3 -1
192 c365 6 300 3 0 1 7208 1bff -3 -1
193 c364 6 308 3 0 1 7209 1bff -3 -1
194 c363 6 308 3 0 1 7211 1bff -3 -1
195 c362 6 310 3 0 1 7212 1bff -3 -1
196 c361 6 310 3 0 1 7214 1bff -3 -1
197 c360 6 318 3 0 1 7215 1bff -3 -1
198 c35f 6 318 3 0 1 7217 1bff -3 -1
199 c35e 6 320 3 0 1 7218 1bff -3 -1
200 c35d 6 320 3 0 1 7220 1bff -3 -1
201 c35c 6 328 3 0 1 7221 1bff -3 -1
202 c35b 6 328 3 0 1 7223 1bff -3 -1
203 c35a 6 330 3 0 1 7224 1bff -3 -1
204 c359 6 330 3 0 1 7226 1bff -3 -1
205 c358 6 338 3 0 1 7227 1bff -3 -1
206 c357 6 338 3 0 1 7229 1bff -3 -1
207 c356 6 340 3 0 1 7230 1bff -3 -1
208 c355 6 340 3 0 1 7232 1bff -3 -1
209 c354 6 348 3 0 1 7233 1bff -3 -1
210 c353 6 348 3 0 1 7235 1bff -3 -1
211 c352 6 350 3 0 1 7236 1bff -3 -1
212 c351 6 350 3 0 1 7238 1bff -3 -1
213 c350 6 358 3 0 1 7239 1bff -3 -1
214 c34f 6 358 3 0 1 7241 1bff -3 -1
215 c34e 6 360 3 0 1 7242 1bff -3 -1
216 c34d 6 360 3 0 1 7244 1bff -3 -1
217 c34c 6 368 3 0 1 7245 1bff -3 -1
218 c34b 6 368 3 0 1 7247 1bff -3 -1
219 c34a 6 370 3 0 1 7248 1bff -3 -1
220 c349 6 370 3 0 1 7250 1bff -3 -1
221 c348 6 378 3 0 1 7251 1bff -3 -1
222 c347 6 378 3 0 1 7253 1bff -3 -1
223 c346 6 380 3 0 1 7254 1bff -3 -1
