# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
100 c3c1 -42244 190 3 0 1 7070 1bff 21122 27109
101 c3c0 -33356 198 3 0 1 7071 1bff 16678 -17812
102 c3bf -47366 198 3 0 1 7073 1bff 23683 28073
103 c3be -69164 1a0 3 0 1 7074 1bff 34582 43681
104 c3bd -61024 1a0 3 0 1 7076 1bff 30512 -16314
105 c3bc -67590 1a8 3 0 1 7077 1bff 33795 13154
106 c3bb -65924 1a8 3 0 1 7079 1bff 32962 -3340
107 c3ba -59326 1b0 3 0 1 7080 1bff 29663 -13223
108 c3b9 -71628 1b0 3 0 1 7082 1bff 35814 24652
109 c3b8 -49268 1b8 3 0 1 7083 1bff 24634 -44811
110 c3b7 -51600 1b8 3 0 1 7085 1bff 25800 4673
111 c3b6 -45154 1c0 3 0 1 7086 1bff 22577 -12920
112 c3b5 -41952 1c0 3 0 1 7088 1bff 20976 -6417
113 c3b4 -30142 1c8 3 0 1 7089 1bff 15071 -23670
114 c3b3 -32366 1c8 3 0 1 7091 1bff 16183 4453
115 c3b2 -9164 1d0 3 0 1 7092 1bff 4582 -46495
116 c3b1 39116 1d0 3 0 1 7094 1bff -19558 -96749
117 c3b0 88042 1d8 3 0 1 7095 1bff -44021 -98044
118 c3af 122900 1d8 3 0 1 7097 1bff -61450 -69856
119 c3ae 132032 1e0 3 0 1 7098 1bff -66016 -18303
120 c3ad 150346 1e0 3 0 1 7100 1bff -75173 -36701
121 c3ac 169396 1e8 3 0 1 7101 1bff -84698 -38176
122 c3ab 175900 1e8 3 0 1 7103 1bff -87950 -13034
123 c3aa 191382 1f0 3 0 1 7104 1bff -95691 -31027
124 c3a9 209528 1f0 3 0 1 7106 1bff -104764 -36367
125 c3a8 241074 1f8 3 0 1 7107 1bff -120537 -63218
126 c3a7 252282 1f8 3 0 1 7109 1bff -126141 -22460
127 c3a6 249396 200 3 0 1 7110 1bff -124698 5780
128 c3a5 201326 200 3 0 1 7112 1bff -100663 96325
129 c3a4 185008 208 3 0 1 7113 1bff -92504 32697
130 c3a3 155950 208 3 0 1 7115 1bff -77975 58227
131 c3a2 142978 210 3 0 1 7116 1bff -71489 25992
132 c3a1 144586 210 3 0 1 7118 1bff -72293 -3226
133 c3a0 122592 218 3 0 1 7119 1bff -61296 44073
134 c39f 97620 218 3 0 1 7121 1bff -48810 50041
135 c39e 61648 220 3 0 1 7122 1bff -30824 72081
136 c39d 28138 220 3 0 1 7124 1bff -14069 67148
137 c39c 6996 228 3 0 1 7125 1bff -3498 42364
138 c39b 11022 228 3 0 1 7127 1bff -5511 -8071
139 c39a -11076 230 3 0 1 7128 1bff 5538 44281
